date_time,target_carbon_monoxide,target_benzene,target_nitrogen_oxides
2011-01-01 00:00:00,1.7294044,5.037131,236.24062
2011-01-01 01:00:00,2.2822933,7.301482,290.35977
2011-01-01 02:00:00,2.013941,7.3774967,275.33426
2011-01-01 03:00:00,2.1416142,8.052776,294.92902
2011-01-01 04:00:00,1.4365072,6.132291,215.1701
2011-01-01 05:00:00,1.1475238,4.609901,182.66072
2011-01-01 06:00:00,1.132418,4.714728,206.7601
2011-01-01 07:00:00,1.0993564,4.342516,196.02069
2011-01-01 08:00:00,1.0853524,3.6362305,183.06335
2011-01-01 09:00:00,1.0010655,3.1259036,163.54684
2011-01-01 10:00:00,1.2657604,4.7049146,206.21284
2011-01-01 11:00:00,1.3200774,4.85453,217.07616
2011-01-01 12:00:00,1.8707546,7.156999,295.15607
2011-01-01 13:00:00,2.452877,9.793388,362.5537
2011-01-01 14:00:00,2.140583,9.131309,334.7409
2011-01-01 15:00:00,1.8818036,7.2836647,304.4138
2011-01-01 16:00:00,2.0638096,8.667599,312.5655
2011-01-01 17:00:00,2.8537574,10.923527,397.27783
2011-01-01 18:00:00,4.295826,16.432987,576.0233
2011-01-01 19:00:00,3.356607,12.448264,451.49387
2011-01-01 20:00:00,2.1747577,7.607368,301.24567
2011-01-01 21:00:00,2.1728964,8.275266,305.9817
2011-01-01 22:00:00,1.9477004,6.631717,263.57648
2011-01-01 23:00:00,1.7679961,5.575144,236.37563
2011-01-02 00:00:00,1.8823225,5.58393,229.08653
2011-01-02 01:00:00,1.5659882,4.8219867,201.30768
2011-01-02 02:00:00,1.3631377,3.2915695,160.8918
2011-01-02 03:00:00,1.2530624,4.249587,169.1897
2011-01-02 04:00:00,1.1352843,3.7287915,146.52527
2011-01-02 05:00:00,0.9475146,3.3925965,139.59833
2011-01-02 06:00:00,0.88980126,2.8177626,139.24695
2011-01-02 07:00:00,0.99838734,3.069435,152.44943
2011-01-02 08:00:00,1.0230693,2.9698656,162.00455
2011-01-02 09:00:00,1.2112015,4.603316,204.81554
2011-01-02 10:00:00,1.3667053,4.6883802,218.79929
2011-01-02 11:00:00,1.9845358,6.9551797,303.23584
2011-01-02 12:00:00,2.1406546,7.8144407,318.06958
2011-01-02 13:00:00,2.3793454,8.847642,340.2608
2011-01-02 14:00:00,2.2787685,8.368909,326.571
2011-01-02 15:00:00,1.8671238,6.618527,257.74536
2011-01-02 16:00:00,2.6161046,10.347368,366.81152
2011-01-02 17:00:00,2.2292502,7.701924,299.91824
2011-01-02 18:00:00,2.4416041,8.709642,339.01367
2011-01-02 19:00:00,3.380857,11.89798,452.5821
2011-01-02 20:00:00,3.3869743,11.506492,449.45078
2011-01-02 21:00:00,3.2071872,0.09648566,357.78354
2011-01-02 22:00:00,2.969213,0.101923145,333.28052
2011-01-02 23:00:00,2.7608793,0.10441818,292.80408
2011-01-03 00:00:00,1.9293498,0.115240976,237.25615
2011-01-03 01:00:00,1.6258576,0.12742347,190.10565
2011-01-03 02:00:00,1.6210533,0.17370392,191.18823
2011-01-03 03:00:00,1.4119377,0.115756266,188.60532
2011-01-03 04:00:00,1.1157136,0.13053995,158.81267
2011-01-03 05:00:00,1.1121686,0.11893903,171.85515
2011-01-03 06:00:00,1.3553196,0.121422656,219.12762
